	eta_Th	group	n_subj	prepost
114	-4.51048020440705	Th	4	pre
115	-4.473466401197472	Th	4	post
116	-4.577193873269217	Th	4	pre
117	-4.399726040509282	Th	4	post
118	-4.5555203009624865	Th	4	pre
119	-4.5908474484268496	Th	4	post
120	-4.5969401670961965	Th	4	pre
121	-4.370607239859445	Th	4	post
122	-4.518054538843583	Th	4	pre
123	-4.398743532141861	Th	4	post
124	-4.751045635768345	Th	4	pre
125	-4.426675582418636	Th	4	post
126	-4.5985513220028	Th	4	pre
127	-4.539743812716737	Th	4	post
128	-4.557311320791439	Th	4	pre
129	-4.487682965337013	Th	4	post
130	-4.5489347710901376	Th	4	pre
131	-4.494353284641188	Th	4	post
132	-4.579692431858608	Th	4	pre
133	-4.591082334518433	Th	4	post
134	-4.710044422928168	Th	4	pre
135	-4.497129454904673	Th	4	post
136	-4.537080317127462	Th	5	pre
137	-4.348183729210678	Th	5	post
138	-4.54221316746303	Th	5	pre
139	-4.470021145684378	Th	5	post
140	-4.681870479972995	Th	5	pre
141	-4.528668379297062	Th	5	post
142	-4.5842150863336055	Th	5	pre
143	-4.509813318447191	Th	5	post
144	-4.500270249892255	Th	5	pre
145	-4.380873986652919	Th	5	post
146	-4.635803806538485	Th	5	pre
147	-4.421226121941391	Th	5	post
148	-4.633833505669418	Th	5	pre
149	-4.404570423826879	Th	5	post
150	-4.699771131787982	Th	5	pre
151	-4.462486773121114	Th	5	post
152	-4.573890958513532	Th	5	pre
153	-4.493173891184282	Th	5	post
154	-4.636361988223329	Th	5	pre
155	-4.487113037887885	Th	5	post
156	-4.639354180316536	Th	5	pre
157	-4.518142276880693	Th	5	post
158	-4.530994264446959	Th	5	pre
159	-4.595443638003602	Th	5	post
160	-4.608403546469552	Th	5	pre
161	-4.468297140938895	Th	5	post
162	-4.635443152213583	Th	5	pre
163	-4.404037981617208	Th	5	post
164	-4.539561709579156	Th	5	pre
165	-4.464788359038684	Th	5	post
166	-4.627571067031549	Th	5	pre
167	-4.466975562426509	Th	5	post
168	-4.544472091051997	Th	5	pre
169	-4.446593853892113	Th	5	post
170	-4.561498053219854	Th	5	pre
171	-4.497703926903861	Th	5	post
172	-4.65335936449012	Th	5	pre
173	-4.445667617175044	Th	5	post
174	-4.57748834940852	Th	5	pre
175	-4.428278747869998	Th	5	post
176	-4.656429631369455	Th	6	pre
177	-4.468747260619183	Th	6	post
178	-4.579346364858199	Th	6	pre
179	-4.461436865281086	Th	6	post
180	-4.553558738864198	Th	6	pre
181	-4.464228844156071	Th	6	post
182	-4.634688669321489	Th	6	pre
183	-4.457311012306992	Th	6	post
184	-4.668195301172685	Th	6	pre
185	-4.382965156010219	Th	6	post
186	-4.60640397850348	Th	6	pre
187	-4.35161600794111	Th	6	post
188	-4.536922688386879	Th	6	pre
189	-4.38987093555684	Th	6	post
190	-4.574681408551275	Th	6	pre
191	-4.5337912598434755	Th	6	post
192	-4.582908854192617	Th	6	pre
193	-4.51633323941912	Th	6	post
194	-4.558096068246024	Th	6	pre
195	-4.496918722074859	Th	6	post
196	-4.573389929168078	Th	6	pre
197	-4.5229074322447484	Th	6	post
198	-4.613113442245795	Th	6	pre
199	-4.461897198034793	Th	6	post
200	-4.5546301773616245	Th	6	pre
201	-4.415472507476807	Th	6	post
202	-4.572744534940136	Th	6	pre
203	-4.441041761515092	Th	6	post
204	-4.529493322177809	Th	6	pre
205	-4.506622509080536	Th	6	post
